	City	Borough	Neighborhood	VenueName	VenueCategory
0	New York	Bronx	Wakefield	Lollipops Gelato	Dessert Shop
1	New York	Bronx	Wakefield	Ripe Kitchen & Bar	Caribbean Restaurant
2	New York	Bronx	Wakefield	Rite Aid	Pharmacy
3	New York	Bronx	Wakefield	Ali's Roti Shop	Caribbean Restaurant
4	New York	Bronx	Wakefield	Jackie's West Indian Bakery	Caribbean Restaurant
5	New York	Bronx	Wakefield	Jimbo's	Burger Joint
6	New York	Bronx	Wakefield	Rite Aid	Pharmacy
7	New York	Bronx	Wakefield	Cooler Runnings Jamaican Restaurant Inc	Caribbean Restaurant
8	New York	Bronx	Wakefield	Carvel Ice Cream	Ice Cream Shop
9	New York	Bronx	Wakefield	SUBWAY	Sandwich Place
10	New York	Bronx	Wakefield	Dunkin Donuts	Donut Shop
11	New York	Bronx	Wakefield	Walgreens	Pharmacy
12	New York	Bronx	Wakefield	T-Mobile	Mobile Phone Shop
13	New York	Bronx	Wakefield	E&L Bakery	Bakery
14	New York	Bronx	Wakefield	Golden Krust Caribbean Bakery and Grill	Caribbean Restaurant
15	New York	Bronx	Wakefield	Dunkin' Donuts	Donut Shop
16	New York	Bronx	Wakefield	Chase Bank	Bank
17	New York	Bronx	Wakefield	Fine Fare	Supermarket
18	New York	Bronx	Wakefield	Domino's Pizza	Pizza Place
19	New York	Bronx	Wakefield	McDonald's	Fast Food Restaurant
20	New York	Bronx	Wakefield	Shell	Gas Station
21	New York	Bronx	Wakefield	Popeye's	Fried Chicken Joint
22	New York	Bronx	Wakefield	Deals	Discount Store
23	New York	Bronx	Wakefield	McDonald's	Fast Food Restaurant
24	New York	Bronx	Wakefield	McDonald's	Fast Food Restaurant
25	New York	Bronx	Wakefield	Dunkin' Donuts	Donut Shop
26	New York	Bronx	Wakefield	Rite Aid	Pharmacy
27	New York	Bronx	Wakefield	Dee-Lectable Pleasure Cakes	Bakery
28	New York	Bronx	Wakefield	Associated Supermarket	Supermarket
29	New York	Bronx	Wakefield	Hong Kong China King	Chinese Restaurant
30	New York	Bronx	Wakefield	Jane's Distinctive Catering	Food
31	New York	Bronx	Wakefield	Mount St Michael's Academy (track)	Track
32	New York	Bronx	Wakefield	Him Health Food Market	Food
33	New York	Bronx	Wakefield	Rite Aid	Pharmacy
34	New York	Bronx	Wakefield	Bee Line 42 MTA NYCT BX39 MTABus BXM11 (White Plains Road/238th St)	Bus Station
35	New York	Bronx	Wakefield	Foodtown	Supermarket
36	New York	Bronx	Wakefield	Brothers Pizzeria	Pizza Place
37	New York	Bronx	Wakefield	Mets Nail	Cosmetics Shop
38	New York	Bronx	Wakefield	MTA MaBSTOA Bus Bx16 / Bx39 / BxM11 & Bee-line 25 / 26 At 233rd St & White Plains Road	Bus Station
39	New York	Bronx	Wakefield	Inn At the Border	Other Nightlife
40	New York	Bronx	Wakefield	New Everlasting Nails	Cosmetics Shop
41	New York	Bronx	Wakefield	Beeline 42 bus - 233 st.	Bus Station
42	New York	Bronx	Wakefield	MTA Subway - 233rd St (2/5)	Metro Station
43	New York	Bronx	Wakefield	MTA MaBSTOA Bus Bx31 / Bx39 / BxM11 at 233st Street / White Plains Road	Bus Station
44	New York	Bronx	Wakefield	Harbi Deli	Deli / Bodega
45	New York	Bronx	Wakefield	Seton Falls Park	Park
46	New York	Bronx	Wakefield	Lovette's	Restaurant
47	New York	Bronx	Wakefield	Last Stop Bar	Bar
48	New York	Bronx	Wakefield	Kennedy Fried Chicken & Pizza	Fried Chicken Joint
49	New York	Bronx	Wakefield	Got Liquor?	Liquor Store
50	New York	Bronx	Co-op City	Dumplin Shop	Dumpling Restaurant
51	New York	Bronx	Co-op City	Red Lobster	Seafood Restaurant
52	New York	Bronx	Co-op City	Country Thyme Cuisine	Caribbean Restaurant
53	New York	Bronx	Co-op City	Panera Bread	Bakery
54	New York	Bronx	Co-op City	Stop & Shop	Supermarket
55	New York	Bronx	Co-op City	Dollar Tree	Discount Store
56	New York	Bronx	Co-op City	The Cookie Factory	Bakery
57	New York	Bronx	Co-op City	Bay Plaza Shopping Center	Shopping Mall
58	New York	Bronx	Co-op City	Rite Aid	Pharmacy
59	New York	Bronx	Co-op City	Dallas BBQ	BBQ Joint
60	New York	Bronx	Co-op City	DSW	Shoe Store
61	New York	Bronx	Co-op City	Five Below	Discount Store
62	New York	Bronx	Co-op City	Rite Aid	Pharmacy
63	New York	Bronx	Co-op City	GameStop	Video Game Store
64	New York	Bronx	Co-op City	Bartow Mall	Shopping Mall
65	New York	Bronx	Co-op City	Capri II Pizza	Pizza Place
66	New York	Bronx	Co-op City	Baskin Robbins	Ice Cream Shop
67	New York	Bronx	Co-op City	Marshalls	Department Store
68	New York	Bronx	Co-op City	DSW Designer Shoe Warehouse	Shoe Store
69	New York	Bronx	Co-op City	Carter's	Kids Store
70	New York	Bronx	Co-op City	Stop and Shop	Supermarket
71	New York	Bronx	Co-op City	Bagels on Bartow	Bagel Shop
72	New York	Bronx	Co-op City	T-Mobile	Mobile Phone Shop
73	New York	Bronx	Co-op City	Pier 1 Imports	Furniture / Home Store
74	New York	Bronx	Co-op City	The Garage	Nightclub
75	New York	Bronx	Co-op City	Sleepy's Co-Op City	Mattress Store
76	New York	Bronx	Co-op City	Dunkin Donuts	Donut Shop
77	New York	Bronx	Co-op City	AT&T	Mobile Phone Shop
78	New York	Bronx	Co-op City	AMC Bay Plaza Cinema 13	Movie Theater
79	New York	Bronx	Co-op City	McDonald's	Fast Food Restaurant
80	New York	Bronx	Co-op City	The Children's Place	Kids Store
81	New York	Bronx	Co-op City	Saks OFF 5TH	Department Store
82	New York	Bronx	Co-op City	Dunkin Donuts on Bartow Avenue	Coffee Shop
83	New York	Bronx	Co-op City	Torrid	Clothing Store
84	New York	Bronx	Co-op City	Pizza Hut	Pizza Place
85	New York	Bronx	Co-op City	PEARTREE PLAZA MALL	Shopping Mall
86	New York	Bronx	Co-op City	Popeyes Chicken and Biscuits	Fried Chicken Joint
87	New York	Bronx	Co-op City	Claire's	Accessories Store
88	New York	Bronx	Co-op City	Starbucks	Coffee Shop
89	New York	Bronx	Co-op City	Staples	Paper / Office Supplies Store
90	New York	Bronx	Co-op City	SUBWAY	Sandwich Place
91	New York	Bronx	Co-op City	Payless ShoeSource	Shoe Store
92	New York	Bronx	Co-op City	Verizon	Mobile Phone Shop
93	New York	Bronx	Co-op City	Moe's Southwest Grill	Mexican Restaurant
94	New York	Bronx	Co-op City	Chase Bank	Bank
95	New York	Bronx	Co-op City	Food Universe Marketplace	Grocery Store
96	New York	Bronx	Co-op City	Party City	Miscellaneous Shop
97	New York	Bronx	Co-op City	Sleepy's Edson	Mattress Store
98	New York	Bronx	Co-op City	Men's Wearhouse	Men's Store
99	New York	Bronx	Co-op City	Haffen Park	Park
100	New York	Bronx	Eastchester	Fish & Ting	Caribbean Restaurant
101	New York	Bronx	Eastchester	Cozy Cottage Restaurant	Diner
