	City	Borough	Neighborhood	VenueName	VenueCategory
0	Toronto	North York	Parkwoods	Allwyn's Bakery	Caribbean Restaurant
1	Toronto	North York	Parkwoods	LCBO	Liquor Store
2	Toronto	North York	Parkwoods	China Cottage	Hakka Restaurant
3	Toronto	North York	Parkwoods	Tim Hortons	Coffee Shop
4	Toronto	North York	Parkwoods	Tim Hortons	Coffee Shop
5	Toronto	North York	Parkwoods	The Beer Store	Beer Store
6	Toronto	North York	Parkwoods	Tim Hortons	Café
7	Toronto	North York	Parkwoods	Staples	Paper / Office Supplies Store
8	Toronto	North York	Parkwoods	Subway	Sandwich Place
9	Toronto	North York	Parkwoods	Second Cup	Coffee Shop
10	Toronto	North York	Parkwoods	Shoppers Drug Mart	Pharmacy
11	Toronto	North York	Parkwoods	Metro Pharmacy	Pharmacy
12	Toronto	North York	Parkwoods	TD Canada Trust	Bank
13	Toronto	North York	Parkwoods	A&W Canada	Fast Food Restaurant
14	Toronto	North York	Parkwoods	Wild Wing	Wings Joint
15	Toronto	North York	Parkwoods	Food Basics	Supermarket
16	Toronto	North York	Parkwoods	Shoppers Drug Mart	Pharmacy
17	Toronto	North York	Parkwoods	Rogers	Video Store
18	Toronto	North York	Parkwoods	Healthy Planet	Health Food Store
19	Toronto	North York	Parkwoods	Pet Valu	Pet Store
20	Toronto	North York	Parkwoods	Sushi Ichiban	Sushi Restaurant
21	Toronto	North York	Parkwoods	Parkway Bowl	Bowling Alley
22	Toronto	North York	Parkwoods	Pizza Pizza	Pizza Place
23	Toronto	North York	Parkwoods	Parkway Valley Tennis Club	Tennis Court
24	Toronto	North York	Parkwoods	Pharmacy Ave & Ellesmere Rd	Intersection
25	Toronto	North York	Parkwoods	Wimpy's Diner	Breakfast Spot
26	Toronto	North York	Parkwoods	Mr. Sub	Restaurant
27	Toronto	North York	Parkwoods	Cassandra Medical Clinic	Medical Center
28	Toronto	North York	Parkwoods	Parkwoods Coin Laundry	Laundry Service
29	Toronto	North York	Parkwoods	Parkwoods Village Centre	Shopping Mall
30	Toronto	North York	Parkwoods	Dollarama	Discount Store
31	Toronto	North York	Parkwoods	La Notre	Coffee Shop
