	City	Borough	Neighborhood	VenueName	VenueCategory
0	Toronto	North York	Parkwoods	Allwyn's Bakery	Caribbean Restaurant
1	Toronto	North York	Parkwoods	Tim Hortons	Café
2	Toronto	North York	Parkwoods	A&W Canada	Fast Food Restaurant
3	Toronto	North York	Parkwoods	LCBO	Liquor Store
4	Toronto	North York	Parkwoods	Food Basics	Supermarket
5	Toronto	North York	Parkwoods	Shoppers Drug Mart	Pharmacy
6	Toronto	North York	Parkwoods	Pizza Pizza	Pizza Place
7	Toronto	North York	Parkwoods	Tim Hortons	Coffee Shop
8	Toronto	North York	Parkwoods	The Beer Store	Beer Store
9	Toronto	North York	Parkwoods	Subway	Sandwich Place
10	Toronto	North York	Parkwoods	Family Food Fair Convenience	Convenience Store
11	Toronto	North York	Parkwoods	Parkwoods Coin Laundry	Laundry Service
12	Toronto	North York	Parkwoods	Parkwoods Village Centre	Shopping Mall
13	Toronto	North York	Parkwoods	Dollarama	Discount Store
14	Toronto	North York	Parkwoods	La Notre	Coffee Shop
15	Toronto	North York	Parkwoods	Spicy Chicken House	Chinese Restaurant
16	Toronto	North York	Parkwoods	TD Canada Trust	Bank
17	Toronto	North York	Parkwoods	Metro Pharmacy	Pharmacy
18	Toronto	North York	Parkwoods	Fenside Arena	Skating Rink
19	Toronto	North York	Parkwoods	Fenside Park	Park
20	Toronto	North York	Parkwoods	Wild Wing	Wings Joint
21	Toronto	North York	Parkwoods	TTC Stop #09083	Bus Stop
22	Toronto	North York	Parkwoods	Sandover Park	Park
23	Toronto	North York	Parkwoods	TTC Stop 9083	Bus Stop
24	Toronto	North York	Parkwoods	Lynedock Park	Park
25	Toronto	North York	Parkwoods	DVP at York Mills	Road
26	Toronto	North York	Parkwoods	S&A Tile & Flooring Services	Furniture / Home Store
27	Toronto	North York	Parkwoods	Parkway Valley Tennis Club	Tennis Court
28	Toronto	North York	Parkwoods	Hwy 401 at Victoria Park	Intersection
29	Toronto	North York	Parkwoods	Le Cafe Restaurant	French Restaurant
30	Toronto	North York	Parkwoods	Pet Valu @Parkway mall	Pet Store
31	Toronto	North York	Parkwoods	Healthy Planet	Health Food Store
32	Toronto	North York	Parkwoods	Pet Valu	Pet Store
33	Toronto	North York	Parkwoods	Radisson Hotel Toronto East	Hotel
34	Toronto	North York	Victoria Village	Jatujak	Thai Restaurant
35	Toronto	North York	Victoria Village	Armenian Kitchen	Middle Eastern Restaurant
36	Toronto	North York	Victoria Village	Tim Hortons	Coffee Shop
37	Toronto	North York	Victoria Village	Portugril	Portuguese Restaurant
38	Toronto	North York	Victoria Village	Artistic Nails	Spa
39	Toronto	North York	Victoria Village	Tagpuan	Asian Restaurant
40	Toronto	North York	Victoria Village	Value Village	Thrift / Vintage Store
41	Toronto	North York	Victoria Village	Eglinton Ave E & Sloane Ave/Bermondsey Rd	Intersection
42	Toronto	North York	Victoria Village	Pizza Nova	Pizza Place
43	Toronto	North York	Victoria Village	Surati Sweet Mart	Indian Restaurant
44	Toronto	North York	Victoria Village	Pet Valu	Pet Store
45	Toronto	Downtown Toronto	Harbourfront	Lake Ontario	Lake
46	Toronto	Downtown Toronto	Harbourfront	Harbour Square Park	Park
